topic,title,tip,difficulty,source
nutrition,Whole grains at dinner,"Whole grains provide complex carbohydrates that may known support steady energy levels during sleep.",medium,sleepfoundation.org
nutrition,Evening meal simplicity,"Simple meals with fewer ingredients may be easier to digest and support better sleep.",easy,sleepfoundation.org
nutrition,Iron intake awareness,"Iron-rich foods support oxygen transport, but large servings late at night may cause digestive discomfort.",medium,sleepfoundation.org
nutrition,Limit processed foods,"Highly processed foods may contain additives that interfere with sleep quality.",easy,sleepfoundation.org
nutrition,Nighttime hunger cues,"Learning to distinguish true hunger from habit can help reduce unnecessary late-night eating.",easy,sleepfoundation.org
nutrition,Soothing soups,"Light vegetable soups in the evening may provide warmth and comfort without heavy digestion.",easy,sleepfoundation.org
nutrition,Avoid energy drinks,"Energy drinks contain stimulants that can severely disrupt sleep if consumed late in the day.",easy,sleepfoundation.org
nutrition,Vitamin D timing,"Vitamin D supplements are often better taken earlier in the day to avoid sleep interference.",medium,sleepfoundation.org
nutrition,Fiber balance,"Adequate fiber intake during the day supports digestion, but very high fiber meals at night may cause discomfort.",medium,sleepfoundation.org
nutrition,Mindful eating at dinner,"Eating slowly and mindfully at dinner may improve digestion and promote better sleep.",easy,sleepfoundation.org
nutrition,Reduce salty foods,"High sodium foods in the evening may increase thirst and nighttime awakenings.",easy,sleepfoundation.org
nutrition,Evening fruit choices,"Low-sugar fruits like berries may be better evening choices than high-sugar options.",easy,sleepfoundation.org
nutrition,Limit fried foods,"Fried foods are harder to digest and may disrupt sleep when eaten late.",easy,sleepfoundation.org
nutrition,Protein distribution,"Spreading protein intake evenly throughout the day may reduce digestive strain at night.",medium,sleepfoundation.org
nutrition,Calming eating environment,"Eating dinner in a calm environment may support relaxation and sleep readiness.",easy,sleepfoundation.org
nutrition,Spice moderation,"Moderating spices at dinner can reduce the risk of heartburn before sleep.",easy,sleepfoundation.org
nutrition,Evening cravings management,"Choosing healthier alternatives when cravings arise may support long-term sleep quality.",easy,sleepfoundation.org
nutrition,Regular dinner timing,"Eating dinner at a consistent time each evening may help stabilize circadian rhythms.",medium,sleepfoundation.org
